Date,Year,unknown,GRE,ICMP,TCP,UDP,ESP,ENCAP,Compaq-Peer
2010-01-21,2010,0.0,0.0034516199603,0.584057450964,77.7432208183,21.5564171451,0.0997301400124,0.0,0.0
2010-02-25,2010,0.0,0.000718660159736,0.590936902381,75.5865691833,23.7652736968,0.0380146443115,0.0,0.0
2010-03-25,2010,0.0,0.012681606096,0.345505057723,85.6611867471,13.7773675341,0.176639460761,0.0,0.0
2010-04-14,2010,0.0025312302548,0.326144212198,0.174110192463,76.9450101441,22.4010353052,0.134411530619,0.00192245335808,0.0
2010-06-17,2010,0.00351909775098,0.0423374529426,0.25320449718,84.7057142324,14.4828170172,0.508853413797,0.000960984385844,0.0
2010-07-15,2010,0.000165696376303,0.145225342176,0.262781900061,84.7034779243,14.3881368826,0.498233940236,0.000371561571104,0.0
2010-08-19,2010,0.0456616625714,0.00125403596723,0.285182532312,85.1809094416,14.3672195982,0.110281398294,0.00403258624755,0.0
2010-09-16,2010,0.002504412028,0.0,0.37334389094,87.2241150367,10.9996174111,1.38501977953,0.00346354854936,0.0
2010-10-29,2010,0.00581284978272,0.0,0.6131820717,73.9390813343,25.2584878644,0.169455608223,0.00334790715334,0.0
2010-12-17,2010,0.000778515992814,0.0572223513253,0.254044312161,82.644408942,16.7900947214,0.235277228832,0.00119201349816,0.0
2011-01-20,2011,0.00170805625997,0.0166588640625,0.295862276234,78.0158027806,21.5391918647,0.118270493105,0.000460679074266,8.15047592932e-05
2011-02-17,2011,0.0030921678736,0.0427782714742,0.335214631902,80.2121345333,19.3733180182,0.0306262486844,0.0020877056981,0.0
2011-03-24,2011,0.00422818467338,0.00358849621726,0.251537982672,84.7121011894,14.9799122223,0.0424066639935,0.00255875382448,0.0
2011-04-13,2011,0.229327978828,0.0805134952016,5.61308437799,75.9151556446,16.6496412449,1.50888065506,0.00263332177386,0.0
2011-05-19,2011,0.0082140199495,0.0417817103867,0.34252869824,80.0273055168,19.4976435522,0.077504564474,0.00361904839359,0.000243980790579
2011-07-21,2011,0.00732120114239,0.00392015415693,0.301171660686,76.4448497856,23.1266898952,0.10000868162,0.00719589941135,0.00075181038626
2011-08-25,2011,0.0080448304788,0.00101976724379,0.267405632817,80.5178000372,19.0093301149,0.183104873996,0.00411683813235,0.000264384100242
2011-09-15,2011,0.00492997654032,0.182874482359,0.214718134271,81.2216673482,17.7787244768,0.56598375314,0.0015110200168,0.000202564277614
2011-10-20,2011,0.00616285837622,0.313400529741,0.212098372688,83.4408052485,15.7753305002,0.215495810512,0.00218308149377,0.000195952953297
2011-11-17,2011,0.00711289930743,0.267966762447,0.213550025625,79.3852315014,19.48962264,0.609684847609,0.00271064644094,0.000587646408876
2011-12-22,2011,0.00646304143477,0.305308383666,0.202052230864,83.697088127,15.4335226538,0.343473202542,0.00153526888828,0.000291463850755
2012-01-19,2012,0.00670319717808,0.18839219137,0.187665171022,86.2780822915,12.8023413255,0.44404941846,0.00849813736691,0.00052874207113
2012-02-16,2012,0.00870273894204,0.250869568467,0.282497440538,86.2530238676,12.7775118058,0.408736658832,0.00134154849448,0.000202964901379
2012-03-15,2012,0.00743680677889,0.412662001923,0.317203484347,87.6564215322,11.2937854533,0.305482854038,0.00125339440094,0.000278532089097
2012-05-17,2012,0.00945924223646,0.36555728039,0.14806922377,91.0119729168,8.2196799514,0.190882126706,0.0517298428826,0.00035601524391
2012-06-21,2012,0.0581077119829,0.248998205313,0.164817909875,87.7714240536,11.3756880787,0.249520895952,0.00781712889749,0.00039879359903
2012-07-19,2012,0.09261126126,0.24164389346,0.122423729398,91.7576076507,7.58829065676,0.0847979288034,0.0233706775635,0.00464442702427
2012-08-16,2012,0.0192737455079,0.185025390465,0.139048140029,89.2953720106,10.257129345,0.069594646313,0.0294816446767,0.00028872122099
