,Date,0-100,101-200,201-300,301-400,401-500,501-600,601-700,701-800,801-900,901-1000,1001-1100,1101-1200,1201-1300,1301-1400,1401-1500,1501-65535
9,2009-01-15,65.3648050598,4.0680746711,1.02550743587,1.04983071799,0.833261721154,1.09856333157,0.634608198392,0.446596111556,0.506268465473,0.274187639665,0.748623583327,0.414350552879,0.688062052823,0.942945955618,21.901342932,0.00297157078723
10,2009-02-19,59.8703009136,5.16097569444,1.9959108015,1.58154605162,2.01011488738,1.44865893701,0.609749842374,0.388402837345,0.401344337817,0.348710308458,1.59188346968,0.381142971226,1.15723844162,0.879627474174,22.1743930318,0.0
11,2009-03-31,31.3572054299,5.05391022128,1.66887799942,1.94068954849,1.08692539755,1.12102511105,0.680604142367,0.549979664927,0.458658968765,0.414353104078,0.742280662504,0.438246666397,0.756122532271,1.60871042131,52.1130356789,0.00937445085501
12,2009-04-16,36.3062825758,7.40700101032,2.361014319,2.29522576733,1.33332101756,1.58784356244,0.834102007769,0.614774984361,1.57196576384,0.522183689408,1.29205785188,0.941631492379,1.65070180825,2.10625289049,39.1641907706,0.0114504886604
13,2009-05-21,36.0543025451,4.87549632233,2.38228210636,1.82674282367,1.47910564343,1.70332942785,0.989325001627,0.706404999024,1.40983206405,0.707918375317,1.14375447504,0.592218316735,1.03938032936,1.62505695502,43.4531829721,0.0116676430385
14,2009-06-18,33.5403432358,3.73327778633,1.62675006406,1.89694708895,1.26114168559,1.78020107199,0.785778717016,0.581549768688,0.997882030123,0.536862298082,1.40037559098,0.631859211403,0.89564142197,0.956600177236,49.3628251419,0.011964709872
15,2009-07-16,35.1580550325,3.56033353421,1.59950783419,1.53274139552,1.2684536958,1.6758189869,0.7468467136,0.539392742013,1.1790282612,0.442052178701,0.80282684942,0.637431699035,0.880705508014,1.72658444969,48.2392640979,0.0109570213167
16,2009-08-20,33.8536008305,3.79479698014,1.85971919006,1.95459859905,1.64616291943,1.94676958203,1.10196001338,0.654257502233,2.3423591208,0.48636474942,1.80667501302,1.0584348174,1.33286428209,1.1931146037,44.9614929625,0.00682883423522
17,2009-09-17,46.1991083025,5.29001587226,2.25343873788,2.24774975713,1.68996192733,1.33286125948,1.13093590761,0.754124594702,1.38814476649,0.52984489496,1.04319174576,0.930984966701,1.13936898495,1.71087729772,32.3593909846,0.0
18,2009-10-15,37.5406131927,3.68654885305,1.91359152225,3.20041307159,1.16068513503,1.44313290061,1.04651513997,0.61207083775,1.25834377279,0.50989602735,1.27827821637,0.743183671591,0.781240336613,2.26907471677,42.5386643347,0.017748270838
