feature,model,MAE,model_selected
1401-1500,ARMA_1_0,24.6777058228,0
1401-1500,ARMA_2_1,24.2683583537,0
1401-1500,ARMA_2_3,24.4885960724,0
1501-65535,ARIMA_1_0_0,inf,1
1501-65535,ARIMA_2_0_0,inf,0
1501-65535,ARIMA_3_0_0,inf,0
1501-65535,ARIMA_3_0_2,inf,0
1501-65535,ARIMA_2_0_2,inf,0
1501-65535,ARIMA_0_0_1,inf,0
1501-65535,ARIMA_3_0_3,inf,0
1501-65535,ARIMA_1_0_6,inf,0
1501-65535,ARIMA_1_0_3,inf,0
1501-65535,ARMA_3_0,inf,0
1501-65535,ARMA_2_0,inf,0
1501-65535,ARMA_1_0,inf,0
1501-65535,ARMA_2_1,inf,0
